,ID,MODELO,SERIE,NUMERO_NOTA_FISCAL,DATA_EMISSAO,CNPJ_CPF_EMITENTE,RAZAO_SOCIAL_EMITENTE,NOME_FANTASIA_EMITENTE,TIPO_DESTINATARIO,CNPJ_CPF_DESTINATARIO,CODIGO_MUNICIPIO_DESTINO,NUMERO_PRODUTO,DESCRICAO_PRODUTO,UNIDADE_PRODUTO,UNIDADE_PRODUTO_TRIBUTAVEL,QUANTIDADE_PRODUTO,QUANTIDADE_PRODUTO_TRIBUTAVEL,VALOR_PRODUTO,VALOR_PRODUTO_TRIBUTAVEL,CODIGO_BARRA,CODIGO_BARRA_TRIBUTAVEL,NCM
702114,37401017,55,4,10069,2022-10-20 00:00:00.000,34775186000172,COMPRA SEGURA COMERCIO ELETRONICO LTDA,,PESSOA_FISICA,,1200500,1,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,UN,UN,1.0,1.0,78.99,78.99,7898062608721,7898062608721,94037000
263831,24676294,55,0,4787,2022-07-19 00:00:00.000,40017962000330,RONSY MATERIAL DE CONSTRUCAO LTDA,RONSY,PESSOA_JURIDICA,,1200401,1,PALHA ATLAS DE ACO Na0,UN,UN,10.0,10.0,2.13,2.13,7896380173433,7896380173433,73231000
59594,2865424,55,1,365,2022-01-27 00:00:00.000,34153348000130,MERCEARIA MEDEIROS EIRELI,MERCEARIA MEDEIROS EIRELI,PESSOA_FISICA,,1200401,46,IOGURTE POLPA NINHO MORANGO 540G,UN,UN,2.0,2.0,8.62,8.62,7891000261026,7891000261026,4031000
204410,19083035,55,1,22464,2022-06-07 00:00:00.000,27675871000242,DISMONZA DISTRIBUIDORA DE TINTAS E ABRASIVOS DO ACRE EIRELI,DISMONZA TINTAS - ACRE - FILIAL,PESSOA_JURIDICA,,1200252,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",GL,GL,2.0,2.0,213.18,213.18,7891260382752,7891260382752,32091010
919175,41266460,55,1,317094,2022-11-16 00:00:00.000,76639285003192,FERRAGENS NEGRAO COM LTDA - P.VELHO,,PESSOA_JURIDICA,,1200401,16,TESOURA PODA HOBBY - TRAMONTINA,UN,UN,6.0,6.0,12.46,12.46,7891117007128,7891117007128,82015000
507358,34370048,55,10,7553,2022-09-28 00:00:00.000,5915706000105,COMERCIAL JAPIIM LTDA,COMERCIAL JAPIIM,PESSOA_JURIDICA,,1200336,13,LIMP.CASA PERFUME AGRAD.12X500,UN1,UN1,12.0,12.0,3.45,3.45,7896040704625,7896040704625,34025000
144264,12098037,55,1,23830,2022-04-13 00:00:00.000,9002021000110,R J CARDINAL LTDA,SUPER ECONOMICO,PESSOA_JURIDICA,,1200203,1,EXTENSAO TRAMONTINA 3MT 3TOM,UN1,UN1,2.0,2.0,40.99,40.99,7891435051834,7891435051834,85366990
420362,33306809,55,1,4385116,2022-09-20 00:00:00.000,61585865046305,RAIADROGASIL S/A,1446 - RAIADROGASIL S/A,PESSOA_JURIDICA,,1200401,26,VARIVAX 100MG 30 S,UN,UN,2.0,2.0,20.39,20.39,7898133136450,7898133136450,30049099
550046,34902493,55,2,13096,2022-10-01 00:00:00.000,11431102000188,FERMAQUINAS COMERCIO E MATERIAL DE CONSTRUCAO EIRELI  EPP,FERMAQUINAS,PESSOA_FISICA,,1200203,10,ENGATE KRONA FLEXIVEL 1/2X50CM,UN,UN,3.0,3.0,6.0,6.0,7897801300841,7897801300841,39173300
1210672,47996506,55,3,1053975,2023-01-05 00:00:00.000,145602000137,KRONA TUBOS E CONEXOES LTDA,KRONA,NAO INFORMADO,,9999999,65,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,PC,KG,200.0,9.46,1.32,27.86,7897801301763,7897801301763,39174090
838167,39757080,55,300,21240,2022-11-05 00:00:00.000,6057223043148,SENDAS DISTRIBUIDORA S/A LJ206,206 RIO BRANCO,PESSOA_JURIDICA,,1200401,6,ESPONJA SCOTCH BRITE MAGICA,UN1,UN1,4.0,4.0,9.8,9.8,7891040113491,7891040113491,39249000
1628146,58038268,55,1,23871,2023-03-25 00:00:00.000,35458379000162,VILHENA SUPER ATACADO IMP E EXP LTDA,FRIOS VILHENA BRZ,PESSOA_JURIDICA,,1200104,81,DOCE DE LEITE TRAD ELEGE PT 400G,UN,UN,62.0,62.0,5.48,5.48,7896079587329,7896079587329,19019020
708675,37498539,55,1,8434383,2022-10-20 00:00:00.000,6626253057935,EMPREENDIMENTOS PAGUE MENOS SA,CD02HIDROLANDIAGO,PESSOA_JURIDICA,,1200401,67,FD PAMPERS SPLASHERS PM12,UN,UN,1.0,1.0,22.69,22.69,7500435157513,7500435157513,96190000
568625,35170701,55,1,214990,2022-10-04 00:00:00.000,79379491011037,HAVAN S.A.,,PESSOA_FISICA,,1200401,1,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,PC,PC,1.0,1.0,399.9,399.9,7895500761178,7895500761178,84145990
277114,26200961,55,1,364954,2022-07-29 00:00:00.000,15191890000133,L L B R DISTRIBUIDORA LTDA,,PESSOA_FISICA,,1200401,4,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),UN,UN,2.0,2.0,77.92,77.92,7891033716418,7891033716418,33072010
1966302,67594521,55,8,65132,2023-06-05 00:00:00.000,2301164000184,ACRE PARAFUSOS IMPORTACAO E EXPORTACAO LTDA,ACRE PARAFUSOS IMPORTACAO E EXPORTACAO LTDA,PESSOA_JURIDICA,,1200401,1,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,UN,UN,3.0,3.0,14.68,14.68,7898526969856,7898526969856,84679200
652142,36578650,55,1,11180,2022-10-14 00:00:00.000,7343845000129,ALUMILUZ IND. E COM. DE UTENCILIOS DE ALUMINIO LTDA,ALUMILUZ,PESSOA_JURIDICA,,1200013,96,PAPEIRO 16 PT,UN,UN,3.0,3.0,7.69,7.69,7898932213895,7898932213895,76151000
1595257,57253809,55,1,75568,2023-03-20 00:00:00.000,3994975000170,GRAM INDUSTRIA E COMERCIO LTDA,HASKELL COSMETICOS,PESSOA_JURIDICA,,1200401,3,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",UN,UN,240.0,240.0,2.28,2.28,7898610372555,7898610372555,33059000
764908,38461566,55,21,1487955,2022-10-27 00:00:00.000,60561719009503,Akzo Nobel Ltda,Akzo Nobel Ltda (Maua),PESSOA_JURIDICA,,1200401,42,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,PC,PC,10.0,10.0,265.59,265.59,7891019170609,7891019170609,32091010
1760822,61636341,55,1,104609,2023-04-24 00:00:00.000,26554435000252,L & G ALIMENTOS DO BRASIL LTDA,MERCALE - AV CEARA,PESSOA_JURIDICA,,1200401,1,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,UN,UN,15.0,15.0,7.72,7.72,7898075640053,7898075640053,20057000
1063365,44026163,55,0,3717947,2022-12-06 00:00:00.000,43214055004013,MARTINS COM SERV DISTR SA,,PESSOA_JURIDICA,,1200401,7,#CONDIC.NEUTROX 24 MULTIB.300M,CD,CD,4.0,4.0,6.46,6.46,7908324400298,7908324400298,33059000
