,Unnamed: 0,idx,query,page_size,abordagem,sinonimos,erros_digitacao,reordenados,result_query,result_sinonimos,result_erros_digitacao,result_reordenados
0,0,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,lexico,Biblioteca Modular de Plástico Reconfigurável com 5 Compartimentos para Organização de Livros.,Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
1,1,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,semantico,Biblioteca Modular de Plástico Reconfigurável com 5 Compartimentos para Organização de Livros.,Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
2,2,1,PALHA ATLAS DE ACO Na0,100,lexico,Foice Atlas de Aço Inoxidável Modelo Na0,PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
3,3,1,PALHA ATLAS DE ACO Na0,100,semantico,Foice Atlas de Aço Inoxidável Modelo Na0,PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
4,4,2,IOGURTE POLPA NINHO MORANGO 540G,100,lexico,Iogurte de Polpa de Morango da Ninho com Peso de 540 Gramas,IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
5,5,2,IOGURTE POLPA NINHO MORANGO 540G,100,semantico,Iogurte de Polpa de Morango da Ninho com Peso de 540 Gramas,IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
6,6,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,lexico,"Resina Acrílica SEBR Base C de 3,2 Litros SUVINIL UVA-PASSA - 623687 com Efeito de Toque de Luz ou Iluminação.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
7,7,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,semantico,"Resina Acrílica SEBR Base C de 3,2 Litros SUVINIL UVA-PASSA - 623687 com Efeito de Toque de Luz ou Iluminação.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
8,8,4,TESOURA PODA HOBBY - TRAMONTINA,100,lexico,Tesoura para Podação de Hobby da Tramontina,TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
9,9,4,TESOURA PODA HOBBY - TRAMONTINA,100,semantico,Tesoura para Podação de Hobby da Tramontina,TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
