,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
0,all_mini,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
1,q_bv2,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
2,mpnet,1,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,0.0,0.0,0,0
3,labase,1,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
4,all_mini,1,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
5,q_bv2,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
6,mpnet,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
7,labase,1,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
8,all_mini,1,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,0,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0
9,q_bv2,1,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,0,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,1.0
10,mpnet,1,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,0,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0
11,labase,1,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0
12,all_mini,1,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,0.0,0.0,0,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
13,q_bv2,1,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
14,mpnet,1,1.0,0.045454545454545456,0.08695652173913045,1.0,0.0,0.0,0,0,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
15,labase,1,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
16,all_mini,1,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0
17,q_bv2,1,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,0.0,0.0,0,0,1.0,0.03125,0.06060606060606061,1.0
18,mpnet,1,1.0,0.03125,0.06060606060606061,1.0,0.0,0.0,0,0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0
19,labase,1,1.0,0.03125,0.06060606060606061,1.0,0.0,0.0,0,0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0
20,all_mini,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
21,q_bv2,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
22,mpnet,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
23,labase,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
24,all_mini,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
25,q_bv2,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0
26,mpnet,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
27,labase,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
28,all_mini,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
29,q_bv2,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
30,mpnet,1,1.0,0.07142857142857142,0.13333333333333333,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.07142857142857142,0.13333333333333333,1.0
31,labase,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,0
32,all_mini,1,0.0,0.0,0,1.0,1.0,0.038461538461538464,0.07407407407407407,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
33,q_bv2,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
34,mpnet,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
35,labase,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
36,all_mini,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
37,q_bv2,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
38,mpnet,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0
39,labase,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
40,all_mini,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
41,q_bv2,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
42,mpnet,1,1.0,0.25,0.4,1.0,0.0,0.0,0,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
43,labase,1,1.0,0.25,0.4,1.0,0.0,0.0,0,0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
44,all_mini,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
45,q_bv2,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
46,mpnet,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
47,labase,1,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
48,all_mini,1,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,0,1.0,0.14285714285714285,0.25,1.0
49,q_bv2,1,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,0,1.0,0.14285714285714285,0.25,1.0
50,mpnet,1,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0
