,idx,query,page_size,abordagem,sinonimos,erros_digitacao,reordenados
0,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,all_mini,"Estante de Armazenamento Polivalente feita de Plástico, Modular e com Múltiplas Funções, composta por 5 Prateleiras.",Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div
1,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,q_bv2,"Estante de Armazenamento Polivalente feita de Plástico, Modular e com Múltiplas Funções, composta por 5 Prateleiras.",Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div
2,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,mpnet,"Estante de Armazenamento Polivalente feita de Plástico, Modular e com Múltiplas Funções, composta por 5 Prateleiras.",Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div
3,0,Estante De Livro Livreiro Plastico Modular Multiuso 5 Div,100,labase,"Estante de Armazenamento Polivalente feita de Plástico, Modular e com Múltiplas Funções, composta por 5 Prateleiras.",Estente De Livo Livreiro Plástico Modular Multiusp 5 Div,Livreiro Plastico Estante De Livro Modular Multiuso 5 Div
4,1,PALHA ATLAS DE ACO Na0,100,all_mini,"Fardo de Palha Atlas de Aço Inox, modelo Na0.",PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO
5,1,PALHA ATLAS DE ACO Na0,100,q_bv2,"Fardo de Palha Atlas de Aço Inox, modelo Na0.",PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO
6,1,PALHA ATLAS DE ACO Na0,100,mpnet,"Fardo de Palha Atlas de Aço Inox, modelo Na0.",PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO
7,1,PALHA ATLAS DE ACO Na0,100,labase,"Fardo de Palha Atlas de Aço Inox, modelo Na0.",PALNA ATLAS DE AÇO Nao,PALHA Na0 ATLAS DE ACO
8,2,IOGURTE POLPA NINHO MORANGO 540G,100,all_mini,"Iogurte de Polpa de Morango da marca Ninho, com Peso Líquido de 540 Gramas.",IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G
9,2,IOGURTE POLPA NINHO MORANGO 540G,100,q_bv2,"Iogurte de Polpa de Morango da marca Ninho, com Peso Líquido de 540 Gramas.",IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G
