,idx,query,page_size,abordagem,sinonimos,erros_digitacao,reordenados
0,0,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa",100,all_mini,"Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals.","Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Bloco Altura 19POL Largura 14UN Argila Comprimento 29T Compressão Mínima De 2,5 Mpa"
1,0,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa",100,q_bv2,"Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals.","Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Bloco Altura 19POL Largura 14UN Argila Comprimento 29T Compressão Mínima De 2,5 Mpa"
2,0,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa",100,mpnet,"Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals.","Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Bloco Altura 19POL Largura 14UN Argila Comprimento 29T Compressão Mínima De 2,5 Mpa"
3,0,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa",100,labase,"Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals.","Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Bloco Altura 19POL Largura 14UN Argila Comprimento 29T Compressão Mínima De 2,5 Mpa"
4,1,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2",100,all_mini,"Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados.","Retroescavadeira Potência Operacnal Mínima 85MS Peso Vzia 6.800KG Capcidade Mínima Carregadreira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira Peso Vazia 6.800KG Potência Operacional Mínima 85MS Capacidade Mínima Escavadeira 0,30MM2 Capacidade Mínima Carregadeira 0,96M3"
5,1,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2",100,q_bv2,"Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados.","Retroescavadeira Potência Operacnal Mínima 85MS Peso Vzia 6.800KG Capcidade Mínima Carregadreira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira Peso Vazia 6.800KG Potência Operacional Mínima 85MS Capacidade Mínima Escavadeira 0,30MM2 Capacidade Mínima Carregadeira 0,96M3"
6,1,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2",100,mpnet,"Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados.","Retroescavadeira Potência Operacnal Mínima 85MS Peso Vzia 6.800KG Capcidade Mínima Carregadreira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira Peso Vazia 6.800KG Potência Operacional Mínima 85MS Capacidade Mínima Escavadeira 0,30MM2 Capacidade Mínima Carregadeira 0,96M3"
7,1,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2",100,labase,"Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados.","Retroescavadeira Potência Operacnal Mínima 85MS Peso Vzia 6.800KG Capcidade Mínima Carregadreira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira Peso Vazia 6.800KG Potência Operacional Mínima 85MS Capacidade Mínima Escavadeira 0,30MM2 Capacidade Mínima Carregadeira 0,96M3"
8,2,Bandeja Revelação Plástico Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimento 18POL Largura 13 Cor Bege,100,all_mini,"Bandeja de Revelação feita de Plástico com Ranhuras no Fundo e Suporte para Termômetro, apresentando uma Altura de 7 Litros por Minuto, Comprimento de 18 Polegadas, Largura de 13 Polegadas e Cor Bege.",Bandeja Revelação Plástico Ranuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimeno 18POL Largura,Bandeja Revelação Plástico Comprimento 18POL Largura 13 Cor Bege Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN
9,2,Bandeja Revelação Plástico Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimento 18POL Largura 13 Cor Bege,100,q_bv2,"Bandeja de Revelação feita de Plástico com Ranhuras no Fundo e Suporte para Termômetro, apresentando uma Altura de 7 Litros por Minuto, Comprimento de 18 Polegadas, Largura de 13 Polegadas e Cor Bege.",Bandeja Revelação Plástico Ranuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimeno 18POL Largura,Bandeja Revelação Plástico Comprimento 18POL Largura 13 Cor Bege Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN
