,query,com_sinonimos
0,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals."
1,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals."
2,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals."
3,"Bloco Altura 19POL Argila Comprimento 29T Largura 14UN Compressão Mínima De 2,5 Mpa","Módulo de Argila com Altura de 19 Polegadas, Comprimento de 29 Toneladas, Largura de 14 Unidades e Compressão Mínima de 2,5 Megapascals."
4,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados."
5,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados."
6,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados."
7,"Retroescavadeira Potência Operacional Mínima 85MS Peso Vazia 6.800KG Capacidade Mínima Carregadeira 0,96M3 Capacidade Mínima Escavadeira 0,30MM2","Retroescavadeira com Potência Operacional Mínima de 85 Megassons, Peso Vazio de 6.800 Quilogramas, Capacidade Mínima de Carregadeira de 0,96 Metros Cúbicos e Capacidade Mínima de Escavadeira de 0,30 Metros Quadrados."
8,Bandeja Revelação Plástico Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimento 18POL Largura 13 Cor Bege,"Bandeja de Revelação feita de Plástico com Ranhuras no Fundo e Suporte para Termômetro, apresentando uma Altura de 7 Litros por Minuto, Comprimento de 18 Polegadas, Largura de 13 Polegadas e Cor Bege."
9,Bandeja Revelação Plástico Ranhuras Fundo E Apoio Para Termômetro Altura 7L/MIN Comprimento 18POL Largura 13 Cor Bege,"Bandeja de Revelação feita de Plástico com Ranhuras no Fundo e Suporte para Termômetro, apresentando uma Altura de 7 Litros por Minuto, Comprimento de 18 Polegadas, Largura de 13 Polegadas e Cor Bege."
